date,count,size,description
1/1/2014,1,0,
1/2/2014,0,0,
1/3/2014,0,0,
1/4/2014,0,0,
1/5/2014,1,0,
1/6/2014,0,0,
1/7/2014,0,0,
1/8/2014,1,0,
1/9/2014,2,0,
1/10/2014,54,54,"On January 8th, Charlie Pickering published an article on a trend he saw in the media where the most covered stories were on drunken street violence, and he wanted to bring attention to men’s violence against women.  "
1/11/2014,0,0,
1/12/2014,2,0,
1/13/2014,2,0,
1/14/2014,2,0,
1/15/2014,0,0,
1/16/2014,1,0,
1/17/2014,1,0,
1/18/2014,3,0,
1/19/2014,1,0,
1/20/2014,1,0,
1/21/2014,3,0,
1/22/2014,5,0,
1/23/2014,2,0,
1/24/2014,1,0,
1/25/2014,0,0,
1/26/2014,1,0,
1/27/2014,1,0,
1/28/2014,3,0,
1/29/2014,1,0,
1/30/2014,1,0,
1/31/2014,3,0,
2/1/2014,3,0,
2/2/2014,1,0,
2/3/2014,2,0,
2/4/2014,0,0,
2/5/2014,2,0,
2/6/2014,0,0,
2/7/2014,2,0,
2/8/2014,1,0,
2/9/2014,1,0,
2/10/2014,2,0,
2/11/2014,44,44,"Simon Glittany murder case.  "
2/12/2014,1,0,
2/13/2014,12,0,
2/14/2014,7,0,
2/15/2014,3,0,
2/16/2014,2,0,
2/17/2014,5,0,
2/18/2014,7,0,
2/19/2014,0,0,
2/20/2014,4,0,
2/21/2014,6,0,
2/22/2014,3,0,
2/23/2014,1,0,
2/24/2014,3,0,
2/25/2014,4,0,
2/26/2014,8,0,
2/27/2014,60,60,"Not many common threads. Some posts were about Rachael Taylor speaking out about her own experiences, while another was about a book, 'Lessons Learnt' that was published. Other posts were of various other topics related to family violence that appear sporadic.  "
2/28/2014,3,0,
3/1/2014,1,0,
3/2/2014,2,0,
3/3/2014,1,0,
3/4/2014,4,0,
3/5/2014,6,0,
3/6/2014,7,0,
3/7/2014,14,0,
3/8/2014,6,0,
3/9/2014,3,0,
3/10/2014,12,12,"Fairfax reported violence against women incidences (on 8 March) as part of international women’s day and people were praising at how this was reported. "
3/11/2014,5,0,
3/12/2014,2,0,
3/13/2014,2,0,
3/14/2014,5,0,
3/15/2014,1,0,
3/16/2014,1,0,
3/17/2014,2,0,
3/18/2014,4,0,
3/19/2014,3,0,
3/20/2014,6,0,
3/21/2014,4,0,
3/22/2014,2,0,
3/23/2014,1,0,
3/24/2014,4,0,
3/25/2014,16,16,"Project TB interviewed a victim 'Jane' on family violence. "
3/26/2014,9,0,
3/27/2014,4,0,
3/28/2014,4,0,
3/29/2014,2,0,
3/30/2014,1,0,
3/31/2014,1,0,
4/1/2014,3,0,
4/2/2014,16,0,
4/3/2014,5,0,
4/4/2014,0,0,
4/5/2014,2,0,
4/6/2014,4,0,
4/7/2014,3,0,
4/8/2014,1,0,
4/9/2014,4,0,
4/10/2014,3,0,
4/11/2014,1,0,
4/12/2014,0,0,
4/13/2014,9,0,
4/14/2014,3,0,
4/15/2014,1,0,
4/16/2014,7,0,
4/17/2014,6,0,
4/18/2014,15,0,
4/19/2014,6,0,
4/20/2014,3,0,
4/21/2014,15,0,
4/22/2014,36,36,"Brian Woods, PUP candidate, slammed for being quoted to say that 'domestic violence is solely a woman’s choice'. 

 

Domestic violence vigil held in Sunshine, Melbourne. 

 

Calls made for a Royal Commission inquiry into family violence.  "
4/23/2014,16,0,
4/24/2014,12,0,
4/25/2014,16,0,
4/26/2014,13,0,
4/27/2014,6,0,
4/28/2014,6,0,
4/29/2014,9,0,
4/30/2014,5,0,
5/1/2014,7,0,
5/2/2014,5,0,
5/3/2014,3,0,
5/4/2014,13,0,
5/5/2014,50,50,"ABC news declared family violence as a 'national emergency'.  "
5/6/2014,21,0,
5/7/2014,22,0,
5/8/2014,8,0,
5/9/2014,30,0,
5/10/2014,7,0,
5/11/2014,45,0,
5/12/2014,6,0,
5/13/2014,2,0,
5/14/2014,7,0,
5/15/2014,11,0,
5/16/2014,6,0,
5/17/2014,47,0,
5/18/2014,9,0,
5/19/2014,11,0,
5/20/2014,15,0,
5/21/2014,3,0,
5/22/2014,9,0,
5/23/2014,5,0,
5/24/2014,3,0,
5/25/2014,3,0,
5/26/2014,10,0,
5/27/2014,5,0,
5/28/2014,6,0,
5/29/2014,17,0,
5/30/2014,19,0,
5/31/2014,6,0,
6/1/2014,5,0,
6/2/2014,8,0,
6/3/2014,11,0,
6/4/2014,12,0,
6/5/2014,1,0,
6/6/2014,3,0,
6/7/2014,31,0,
6/8/2014,5,0,
6/9/2014,8,0,
6/10/2014,9,0,
6/11/2014,4,0,
6/12/2014,4,0,
6/13/2014,3,0,
6/14/2014,2,0,
6/15/2014,1,0,
6/16/2014,4,0,
6/17/2014,2,0,
6/18/2014,5,0,
6/19/2014,5,0,
6/20/2014,59,59,"A brutal murder at South Australia sparked tweets. Calls for change and action were made.   "
6/21/2014,2,0,
6/22/2014,4,0,
6/23/2014,1,0,
6/24/2014,3,0,
6/25/2014,13,0,
6/26/2014,30,0,
6/27/2014,17,0,
6/28/2014,6,0,
6/29/2014,9,0,
6/30/2014,8,0,
7/1/2014,5,0,
7/2/2014,8,0,
7/3/2014,1,0,
7/4/2014,6,0,
7/5/2014,5,0,
7/6/2014,2,0,
7/7/2014,19,0,
7/8/2014,7,0,
7/9/2014,6,0,
7/10/2014,3,0,
7/11/2014,7,0,
7/12/2014,5,0,
7/13/2014,3,0,
7/14/2014,70,70,"Q and A did a segment discussing family violence and other abuse related issues.  

 

Four Corners also did an episode with Rosie Batty.  "
7/15/2014,21,0,
7/16/2014,19,0,
7/17/2014,8,0,
7/18/2014,4,0,
7/19/2014,0,0,
7/20/2014,3,0,
7/21/2014,6,0,
7/22/2014,8,0,
7/23/2014,1,0,
7/24/2014,5,0,
7/25/2014,11,0,
7/26/2014,7,0,
7/27/2014,0,0,
7/28/2014,2,0,
7/29/2014,4,0,
7/30/2014,28,0,
7/31/2014,7,0,
8/1/2014,3,0,
8/2/2014,1,0,
8/3/2014,5,0,
8/4/2014,5,0,
8/5/2014,6,0,
8/6/2014,31,0,
8/7/2014,53,53,"Rugby festival addresses family violence widely reported and retweeted.  

 

Domestic violence as a 'silent epidemic' news article published.  "
8/8/2014,13,0,
8/9/2014,7,0,
8/10/2014,26,0,
8/11/2014,8,0,
8/12/2014,1,0,
8/13/2014,7,0,
8/14/2014,11,0,
8/15/2014,3,0,
8/16/2014,1,0,
8/17/2014,6,0,
8/18/2014,6,0,
8/19/2014,9,0,
8/20/2014,13,0,
8/21/2014,1,0,
8/22/2014,3,0,
8/23/2014,2,0,
8/24/2014,4,0,
8/25/2014,26,0,
8/26/2014,8,0,
8/27/2014,12,0,
8/28/2014,7,0,
8/29/2014,7,0,
8/30/2014,2,0,
8/31/2014,9,0,
9/1/2014,22,0,
9/2/2014,6,0,
9/3/2014,4,0,
9/4/2014,9,0,
9/5/2014,13,0,
9/6/2014,4,0,
9/7/2014,1,0,
9/8/2014,14,0,
9/9/2014,24,0,
9/10/2014,17,0,
9/11/2014,13,0,
9/12/2014,27,0,
9/13/2014,6,0,
9/14/2014,10,0,
9/15/2014,16,0,
9/16/2014,15,0,
9/17/2014,31,0,
9/18/2014,11,0,
9/19/2014,20,0,
9/20/2014,5,0,
9/21/2014,11,0,
9/22/2014,21,0,
9/23/2014,15,0,
9/24/2014,10,0,
9/25/2014,10,0,
9/26/2014,9,0,
9/27/2014,21,0,
9/28/2014,71,71,"Royal Women’s Hospital now offering legal advice to domestic violence victims. 

Domestic Violence taskforce set up to review its services in Queensland. NFL commissioner.  

NFL commissioner visits a domestic violence hotline service.  "
9/29/2014,7,0,
9/30/2014,11,0,
10/1/2014,7,0,
10/2/2014,16,0,
10/3/2014,9,0,
10/4/2014,15,0,
10/5/2014,7,0,
10/6/2014,14,0,
10/7/2014,17,0,
10/8/2014,38,38,"Language used by Brisbane police in describing a murder as 'domestic violence that got out of hand' slammed by public.  Coverage of this case by the news media was also criticised by the public. "
10/9/2014,15,0,
10/10/2014,18,0,
10/11/2014,13,0,
10/12/2014,7,0,
10/13/2014,9,0,
10/14/2014,9,0,
10/15/2014,13,0,
10/16/2014,22,0,
10/17/2014,10,0,
10/18/2014,10,0,
10/19/2014,7,0,
10/20/2014,17,0,
10/21/2014,6,0,
10/22/2014,9,0,
10/23/2014,11,0,
10/24/2014,16,0,
10/25/2014,5,0,
10/26/2014,7,0,
10/27/2014,19,0,
10/28/2014,19,0,
10/29/2014,7,0,
10/30/2014,21,0,
10/31/2014,12,0,
11/1/2014,2,0,
11/2/2014,35,0,
11/3/2014,30,0,
11/4/2014,21,0,
11/5/2014,15,0,
11/6/2014,36,0,
11/7/2014,64,0,
11/8/2014,10,0,
11/9/2014,61,0,
11/10/2014,12,0,
11/11/2014,15,0,
11/12/2014,11,0,
11/13/2014,13,0,
11/14/2014,9,0,
11/15/2014,10,0,
11/16/2014,7,0,
11/17/2014,16,0,
11/18/2014,6,0,
11/19/2014,15,0,
11/20/2014,17,0,
11/21/2014,12,0,
11/22/2014,13,0,
11/23/2014,27,0,
11/24/2014,76,76,"White Ribbon Day. Various events occurring across the country in support for an end to family violence.  "
11/25/2014,137,0,
11/26/2014,38,0,
11/27/2014,16,0,
11/28/2014,20,0,
11/29/2014,14,0,
11/30/2014,14,0,
12/1/2014,16,0,
12/2/2014,26,0,
12/3/2014,8,0,
12/4/2014,16,0,
12/5/2014,11,0,
12/6/2014,5,0,
12/7/2014,15,0,
12/8/2014,12,0,
12/9/2014,4,0,
12/10/2014,8,0,
12/11/2014,5,0,
12/12/2014,7,0,
12/13/2014,1,0,
12/14/2014,4,0,
12/15/2014,10,0,
12/16/2014,14,0,
12/17/2014,12,0,
12/18/2014,3,0,
12/19/2014,32,32,"Sydney Siege occurred a few days ago. Tweets argue that domestic violence threats were more pressing than once-off terrorist attacks.  "
12/20/2014,9,0,
12/21/2014,11,0,
12/22/2014,21,0,
12/23/2014,25,0,
12/24/2014,7,0,
12/25/2014,11,0,
12/26/2014,6,0,
12/27/2014,6,0,
12/28/2014,11,0,
12/29/2014,11,0,
12/30/2014,8,0,
1/1/2015,7,0,
1/2/2015,3,0,
1/3/2015,45,0,
1/4/2015,5,0,
1/5/2015,8,0,
1/6/2015,8,0,
1/7/2015,5,0,
1/8/2015,1,0,
1/9/2015,3,0,
1/10/2015,5,0,
1/11/2015,3,0,
1/12/2015,38,0,
1/13/2015,6,0,
1/14/2015,12,0,
1/15/2015,2,0,
1/16/2015,2,0,
1/17/2015,2,0,
1/18/2015,10,0,
1/19/2015,259,0,
1/20/2015,14,0,
1/21/2015,14,0,
1/22/2015,17,0,
1/23/2015,7,0,
1/24/2015,6,0,
1/25/2015,88,0,
1/26/2015,50,0,
1/27/2015,53,0,
1/28/2015,82,0,
1/29/2015,43,0,
1/30/2015,25,0,
1/31/2015,22,0,
2/1/2015,24,0,
2/2/2015,59,0,
2/3/2015,23,0,
2/4/2015,33,0,
2/5/2015,21,0,
2/6/2015,19,0,
2/7/2015,29,0,
2/8/2015,123,0,
2/9/2015,87,0,
2/10/2015,32,0,
2/11/2015,37,0,
2/12/2015,62,0,
2/13/2015,43,0,
2/14/2015,36,0,
2/15/2015,12,0,
2/16/2015,29,0,
2/17/2015,23,0,
2/18/2015,21,0,
2/19/2015,47,0,
2/20/2015,37,0,
2/21/2015,29,0,
2/22/2015,49,0,
2/23/2015,464,0,
2/24/2015,45,0,
2/25/2015,24,0,
2/26/2015,14,0,
2/27/2015,6,0,
2/28/2015,32,0,
3/1/2015,0,0,
3/2/2015,0,0,
3/3/2015,0,0,
3/4/2015,0,0,
3/5/2015,0,0,
3/6/2015,0,0,
3/7/2015,0,0,
3/8/2015,0,0,
3/9/2015,0,0,
3/10/2015,0,0,
3/11/2015,1,0,
3/12/2015,0,0,
3/13/2015,0,0,
3/14/2015,0,0,
3/15/2015,0,0,
3/16/2015,0,0,
3/17/2015,0,0,
3/18/2015,0,0,
3/19/2015,0,0,
3/20/2015,1,0,
3/21/2015,0,0,
3/22/2015,0,0,
3/23/2015,0,0,
3/24/2015,1,0,
3/25/2015,1,0,
3/26/2015,0,0,
3/27/2015,0,0,
3/28/2015,0,0,
3/29/2015,0,0,
3/30/2015,1,0,
3/31/2015,0,0,
4/1/2015,1,0,
4/2/2015,1,0,
4/3/2015,0,0,
4/4/2015,1,0,
4/5/2015,0,0,
4/6/2015,0,0,
4/7/2015,0,0,
4/8/2015,0,0,
4/9/2015,0,0,
4/10/2015,0,0,
4/11/2015,0,0,
4/12/2015,1,0,
4/13/2015,0,0,
4/14/2015,0,0,
4/15/2015,0,0,
4/16/2015,0,0,
4/17/2015,1,0,
4/18/2015,0,0,
4/19/2015,1,0,
4/20/2015,0,0,
4/21/2015,8,0,
4/22/2015,53,0,
4/23/2015,172,0,
4/24/2015,83,0,
4/25/2015,0,0,
4/26/2015,1,0,
4/27/2015,1,0,
4/28/2015,0,0,
4/29/2015,0,0,
4/30/2015,54,0,
5/1/2015,183,0,
5/2/2015,123,0,
5/3/2015,317,0,
5/4/2015,339,0,
5/5/2015,228,0,
5/6/2015,310,0,
5/7/2015,214,0,
5/8/2015,277,0,
5/9/2015,99,0,
5/10/2015,66,0,
5/11/2015,188,0,
5/12/2015,575,0,
5/13/2015,759,0,
5/14/2015,481,0,
5/15/2015,343,0,
5/16/2015,248,0,
5/17/2015,410,0,
5/18/2015,317,0,
5/19/2015,274,0,
5/20/2015,224,0,
5/21/2015,272,0,
5/22/2015,180,0,
5/23/2015,102,0,
5/24/2015,134,0,
5/25/2015,281,0,
5/26/2015,488,0,
5/27/2015,266,0,
5/28/2015,305,0,
5/29/2015,211,0,
5/30/2015,275,0,
5/31/2015,226,0,
6/1/2015,537,0,
6/2/2015,343,0,
6/3/2015,537,0,
6/4/2015,372,0,
6/5/2015,147,0,
6/6/2015,129,0,
6/7/2015,88,0,
6/8/2015,110,0,
6/9/2015,145,0,
6/10/2015,178,0,
6/11/2015,177,0,
6/12/2015,126,0,
6/13/2015,202,0,
6/14/2015,112,0,
6/15/2015,352,0,
6/16/2015,196,0,
6/17/2015,247,0,
6/18/2015,247,0,
6/19/2015,142,0,
6/20/2015,272,0,
6/21/2015,116,0,
6/22/2015,185,0,
6/23/2015,174,0,
6/24/2015,153,0,
6/25/2015,159,0,
6/26/2015,110,0,
6/27/2015,78,0,
6/28/2015,144,0,
6/29/2015,256,0,
6/30/2015,307,0,
7/1/2015,188,0,
7/2/2015,388,0,
7/3/2015,427,0,
7/4/2015,139,0,
7/5/2015,402,0,
7/6/2015,398,0,
7/7/2015,322,0,
7/8/2015,218,0,
7/9/2015,269,0,
7/10/2015,175,0,
7/11/2015,203,0,
7/12/2015,335,0,
7/13/2015,521,0,
7/14/2015,410,0,
7/15/2015,388,0,
7/16/2015,294,0,
7/17/2015,222,0,
7/18/2015,173,0,
7/19/2015,162,0,
7/20/2015,189,0,
7/21/2015,353,0,
7/22/2015,352,0,
7/23/2015,341,0,
7/24/2015,171,0,
7/25/2015,181,0,
7/26/2015,230,0,
7/27/2015,343,0,
7/28/2015,287,0,
7/29/2015,197,0,
7/30/2015,164,0,
7/31/2015,143,0,
8/1/2015,75,0,
8/2/2015,59,0,
8/3/2015,185,0,
8/4/2015,233,0,
8/5/2015,249,0,
8/6/2015,230,0,
8/7/2015,143,0,
8/8/2015,145,0,
8/9/2015,130,0,
8/10/2015,403,0,
8/11/2015,250,0,
8/12/2015,309,0,
8/13/2015,322,0,
8/14/2015,284,0,
8/15/2015,178,0,
8/16/2015,190,0,
8/17/2015,248,0,
8/18/2015,246,0,
8/19/2015,195,0,
8/20/2015,207,0,
8/21/2015,327,0,
8/22/2015,108,0,
8/23/2015,117,0,
8/24/2015,127,0,
8/25/2015,226,0,
8/26/2015,211,0,
8/27/2015,103,0,
8/28/2015,89,0,
8/29/2015,71,0,
8/30/2015,88,0,
8/31/2015,90,0,
9/1/2015,189,0,
9/2/2015,128,0,
9/3/2015,106,0,
9/4/2015,95,0,
9/5/2015,49,0,
9/6/2015,155,0,
9/7/2015,185,0,
9/8/2015,157,0,
9/9/2015,229,0,
9/10/2015,954,0,
9/11/2015,1087,0,
9/12/2015,345,0,
9/13/2015,674,0,
9/14/2015,581,0,
9/15/2015,406,0,
9/16/2015,312,0,
9/17/2015,487,0,
9/18/2015,194,0,
9/19/2015,90,0,
9/20/2015,185,0,
9/21/2015,246,0,
9/22/2015,226,0,
9/23/2015,1002,0,
9/24/2015,1744,0,
9/25/2015,596,0,
9/26/2015,320,0,
9/27/2015,1015,0,
9/28/2015,820,0,
9/29/2015,502,0,
9/30/2015,652,0,
10/1/2015,465,0,
10/2/2015,235,0,
10/3/2015,184,0,
10/4/2015,132,0,
10/5/2015,213,0,
10/6/2015,194,0,
10/7/2015,153,0,
10/8/2015,288,0,
10/9/2015,234,0,
10/10/2015,190,0,
10/11/2015,225,0,
10/12/2015,233,0,
10/13/2015,331,0,
10/14/2015,382,0,
10/15/2015,333,0,
10/16/2015,252,0,
10/17/2015,146,0,
10/18/2015,201,0,
10/19/2015,232,0,
10/20/2015,440,0,
10/21/2015,207,0,
10/22/2015,259,0,
10/23/2015,196,0,
10/24/2015,81,0,
10/25/2015,95,0,
10/26/2015,133,0,
10/27/2015,129,0,
10/28/2015,99,0,
10/29/2015,160,0,
10/30/2015,162,0,
10/31/2015,52,0,
11/1/2015,70,0,
11/2/2015,109,0,
11/3/2015,142,0,
11/4/2015,172,0,
11/5/2015,150,0,
11/6/2015,121,0,
11/7/2015,172,0,
11/8/2015,225,0,
11/9/2015,292,0,
11/10/2015,482,0,
11/11/2015,346,0,
11/12/2015,357,0,
11/13/2015,315,0,
11/14/2015,198,0,
11/15/2015,136,0,
11/16/2015,364,0,
11/17/2015,242,0,
11/18/2015,180,0,
11/19/2015,154,0,
11/20/2015,108,0,
11/21/2015,144,0,
11/22/2015,196,0,
11/23/2015,553,0,
11/24/2015,1374,0,
11/25/2015,1747,0,
11/26/2015,481,0,
11/27/2015,281,0,
11/28/2015,185,0,
11/29/2015,237,0,
11/30/2015,227,0,
12/1/2015,160,0,
12/2/2015,246,0,
12/3/2015,163,0,
12/4/2015,158,0,
12/5/2015,108,0,
12/6/2015,163,0,
12/7/2015,226,0,
12/8/2015,248,0,
12/9/2015,207,0,
12/10/2015,154,0,
12/11/2015,126,0,
12/12/2015,47,0,
12/13/2015,81,0,
12/14/2015,217,0,
12/15/2015,192,0,
12/16/2015,145,0,
12/17/2015,132,0,
12/18/2015,141,0,
12/19/2015,52,0,
12/20/2015,54,0,
12/21/2015,78,0,
12/22/2015,124,0,
12/23/2015,89,0,
12/24/2015,37,0,
12/25/2015,27,0,
12/26/2015,36,0,
12/27/2015,62,0,
12/28/2015,68,0,
12/29/2015,64,0,
12/30/2015,48,0,
1/1/2016,32,0,
1/2/2016,50,0,
1/3/2016,90,0,
1/4/2016,142,0,
1/5/2016,160,0,
1/6/2016,140,0,
1/7/2016,143,0,
1/8/2016,71,0,
1/9/2016,36,0,
1/10/2016,41,0,
1/11/2016,104,0,
1/12/2016,117,0,
1/13/2016,86,0,
1/14/2016,81,0,
1/15/2016,163,0,
1/16/2016,128,0,
1/17/2016,87,0,
1/18/2016,173,0,
1/19/2016,166,0,
1/20/2016,136,0,
1/21/2016,218,0,
1/22/2016,276,276,"Sarah Palin blames Obama for her son’s domestic violence arrest.  

 

Heavy discussion about indigenous women being more likely to experience family violence. Call to action to include consistent funding and involve indigenous communities in addressing this problem made.  

 

Mark Latham criticises Rosie Batty and argues that domestic violence campaigns are 'being run for political reasons'. "
1/23/2016,91,0,
1/24/2016,107,0,
1/25/2016,145,0,
1/26/2016,57,0,
1/27/2016,95,0,
1/28/2016,96,0,
1/29/2016,67,0,
1/30/2016,34,0,
1/31/2016,50,0,
2/1/2016,263,263,"UniMelb hosed a an eSafe Relationships conference. 

 

Domestic violence campaign calls out NFL.   "
2/2/2016,137,0,
2/3/2016,193,0,
2/4/2016,95,0,
2/5/2016,79,0,
2/6/2016,54,0,
2/7/2016,59,0,
2/8/2016,114,0,
2/9/2016,70,0,
2/10/2016,68,0,
2/11/2016,73,0,
2/12/2016,65,0,
2/13/2016,56,0,
2/14/2016,38,0,
2/15/2016,113,0,
2/16/2016,108,0,
2/17/2016,62,0,
2/18/2016,92,0,
2/19/2016,146,0,
2/20/2016,55,0,
2/21/2016,76,0,
2/22/2016,91,0,
2/23/2016,96,0,
2/24/2016,217,0,
2/25/2016,140,0,
2/26/2016,90,0,
2/27/2016,57,0,
2/28/2016,61,0,
2/29/2016,234,0,
3/1/2016,176,0,
3/2/2016,114,0,
3/3/2016,81,0,
3/4/2016,101,0,
3/5/2016,53,0,
3/6/2016,83,0,
3/7/2016,152,0,
3/8/2016,260,0,
3/9/2016,147,0,
3/10/2016,149,0,
3/11/2016,105,0,
3/12/2016,59,0,
3/13/2016,91,0,
3/14/2016,152,0,
3/15/2016,168,0,
3/16/2016,170,0,
3/17/2016,160,0,
3/18/2016,88,0,
3/19/2016,65,0,
3/20/2016,89,0,
3/21/2016,114,0,
3/22/2016,117,0,
3/23/2016,126,0,
3/24/2016,80,0,
3/25/2016,90,0,
3/26/2016,206,0,
3/27/2016,232,0,
3/28/2016,249,0,
3/29/2016,256,0,
3/30/2016,1038,1038,"Findings and recommendations by the Royal Commission were released. Vic Premier commits to implementing all of the recommendations. 

 

Push to increase safe accommodation needed for LGBTI youth.  "
3/31/2016,325,0,
4/1/2016,229,0,
4/2/2016,81,0,
4/3/2016,102,0,
4/4/2016,158,0,
4/5/2016,253,0,
4/6/2016,191,0,
4/7/2016,130,0,
4/8/2016,101,0,
4/9/2016,102,0,
4/10/2016,142,0,
4/11/2016,329,0,
4/12/2016,322,0,
4/13/2016,425,425,"Vic pledges half a billion dollars to family violence services.  

 

Family violence driving youth homelessness raised. "
4/14/2016,235,0,
4/15/2016,122,0,
4/16/2016,87,0,
4/17/2016,127,0,
4/18/2016,168,0,
4/19/2016,133,0,
4/20/2016,335,0,
4/21/2016,283,0,
4/22/2016,122,0,
4/23/2016,80,0,
4/24/2016,80,0,
4/25/2016,87,0,
4/26/2016,169,0,
4/27/2016,223,0,
4/28/2016,138,0,
4/29/2016,105,0,
4/30/2016,67,0,
5/1/2016,87,0,
5/2/2016,158,0,
5/3/2016,224,0,
5/4/2016,309,309,"Federal Budget failed to include family violence resources and priority was given to terrorism instead. 

 

Calls for family law system reform made.  

 

Domestic Violence Remembrance Day vigil "
5/5/2016,264,0,
5/6/2016,150,0,
5/7/2016,102,0,
5/8/2016,79,0,
5/9/2016,112,0,
5/10/2016,105,0,
5/11/2016,103,0,
5/12/2016,133,0,
5/13/2016,148,0,
5/14/2016,119,0,
5/15/2016,81,0,
5/16/2016,65,0,
5/17/2016,97,0,
5/18/2016,117,0,
5/19/2016,124,0,
5/20/2016,120,0,
5/21/2016,65,0,
5/22/2016,44,0,
5/23/2016,118,0,
5/24/2016,130,0,
5/25/2016,129,0,
5/26/2016,133,0,
5/27/2016,268,0,
5/28/2016,162,0,
5/29/2016,131,0,
5/30/2016,183,0,
5/31/2016,165,0,
6/1/2016,139,0,
6/2/2016,167,0,
6/3/2016,118,0,
6/4/2016,61,0,
6/5/2016,55,0,
6/6/2016,84,0,
6/7/2016,188,0,
6/8/2016,177,0,
6/9/2016,137,0,
6/10/2016,120,0,
6/11/2016,202,0,
6/12/2016,71,0,
6/13/2016,102,0,
6/14/2016,195,0,
6/15/2016,208,0,
6/16/2016,134,0,
6/17/2016,147,0,
6/18/2016,150,0,
6/19/2016,127,0,
6/20/2016,241,0,
6/21/2016,225,0,
6/22/2016,162,0,
6/23/2016,113,0,
6/24/2016,66,0,
6/25/2016,42,0,
6/26/2016,114,0,
6/27/2016,133,0,
6/28/2016,109,0,
6/29/2016,149,0,
6/30/2016,289,289,"'Domestic violence deaths at ‘epidemic proportions’ despite awareness' news article released.  

 

Federal election discussion: what each party have promised on domestic violence. 

 

Woman’s battered body found in Melbourne linked to domestic violence. 

 

Footy show calls out NRL on domestic violence with Semi Radradra charged with domestic violence offences.  "
7/1/2016,175,0,
7/2/2016,64,0,
7/3/2016,34,0,
7/4/2016,115,0,
7/5/2016,159,0,
7/6/2016,125,0,
7/7/2016,90,0,
7/8/2016,70,0,
7/9/2016,49,0,
7/10/2016,35,0,
7/11/2016,185,0,
7/12/2016,210,210,"Steve Price called Van Badham hysterical after she spoke about family violence on Q and A.  "
7/13/2016,197,197,"'Shining a Light on Family Violence in Early Childhood' report released. 

 

ABC releases report from ABS data showing that more than a third of homicides and sexual assault cases are linked to domestic violence. 

 

Steve Price’s actions from Q and A still being discussed.  

 

Public Servants lose domestic violence leave.  "
7/14/2016,120,0,
7/15/2016,72,0,
7/16/2016,73,0,
7/17/2016,98,0,
7/18/2016,156,0,
7/19/2016,106,0,
7/20/2016,83,0,
7/21/2016,141,0,
7/22/2016,129,0,
7/23/2016,60,0,
7/24/2016,125,0,
7/25/2016,125,0,
7/26/2016,89,0,
7/27/2016,104,0,
7/28/2016,75,0,
7/29/2016,79,0,
7/30/2016,58,0,
7/31/2016,94,0,
8/1/2016,119,0,
8/2/2016,118,0,
8/3/2016,93,0,
8/4/2016,108,0,
8/5/2016,113,0,
8/6/2016,66,0,
8/7/2016,83,0,
8/8/2016,91,0,
8/9/2016,111,0,
8/10/2016,114,0,
8/11/2016,72,0,
8/12/2016,75,0,
8/13/2016,51,0,
8/14/2016,58,0,
8/15/2016,157,157,"Queensland to strengthen laws for domestic violence. 

 

NSW judges and lawyers accused of using sexist language when dealing with domestic violence cases.  "
8/16/2016,137,0,
8/17/2016,138,0,
8/18/2016,116,0,
8/19/2016,141,0,
8/20/2016,116,0,
8/21/2016,81,0,
8/22/2016,128,0,
8/23/2016,151,0,
8/24/2016,101,0,
8/25/2016,127,0,
8/26/2016,77,0,
8/27/2016,74,0,
8/28/2016,43,0,
8/29/2016,109,0,
8/30/2016,133,0,
8/31/2016,115,0,
9/1/2016,92,0,
9/2/2016,154,0,
9/3/2016,83,0,
9/4/2016,53,0,
9/5/2016,102,0,
9/6/2016,115,0,
9/7/2016,68,0,
9/8/2016,77,0,
9/9/2016,72,0,
9/10/2016,43,0,
9/11/2016,73,0,
9/12/2016,72,0,
9/13/2016,87,0,
9/14/2016,149,0,
9/15/2016,203,203,"Pauline Hanson made a controversial maiden speech blaming women for high suicide rates in men as a result from custody battles over children.   "
9/16/2016,86,0,
9/17/2016,59,0,
9/18/2016,63,0,
9/19/2016,135,0,
9/20/2016,109,0,
9/21/2016,157,0,
